"sampling","bromeliad","Spp","abundance"
"final","N34","Oligochaete",62
"final","N34","Scirtes_sp",3
"final","N34","Tipulidae",1
"final","N35","Chironomidae",3
"final","N35","Culicidae",4
"final","N35","Diptera_sp",1
"final","N35","Leptagrion",1
"final","N35","Oligochaete",166
"final","N35","Psychodidae",1
"final","N35","Scirtes_sp",4
"final","N35","Tabanidae",1
"final","N36","Corethrella",1
"final","N36","Culicidae",11
"final","N36","Diptera_sp",2
"final","N36","Forcipomyia",6
"final","N36","Leptagrion",2
"final","N36","Oligochaete",58
"final","N36","Scirtes_sp",3
"final","N37","Atrichopogon",3
"final","N37","Culicidae",2
"final","N37","Diptera_sp",17
"final","N37","Forcipomyia",2
"final","N37","Leptagrion",2
"final","N37","Oligochaete",97
"final","N37","Scirtes_sp",6
"final","N37","Tipulidae",2
"final","N38","Chironomidae",1
"final","N38","Corethrella",1
"final","N38","Culicidae",9
"final","N38","Diptera_sp",7
"final","N38","Leptagrion",2
"final","N38","Oligochaete",101
"final","N38","Scirtes_sp",11
"final","N38","Tipulidae",2
"final","N39","Atrichopogon",1
"final","N39","Culicidae",10
"final","N39","Diptera_sp",1
"final","N39","Forcipomyia",3
"final","N39","Leptagrion",1
"final","N39","Oligochaete",41
"final","N39","Scirtes_sp",2
"final","N39","Tabanidae",1
"final","N40","Atrichopogon",1
"final","N40","Corethrella",1
"final","N40","Culicidae",9
"final","N40","Diptera_sp",1
"final","N40","Leptagrion",1
"final","N40","Oligochaete",11
"final","N40","Scirtes_sp",3
"final","N40","Tipulidae",3
"final","N41","Atrichopogon",17
"final","N41","Chironomidae",8
"final","N41","Corethrella",1
"final","N41","Culicidae",5
"final","N41","Diptera_sp",1
"final","N41","Forcipomyia",6
"final","N41","Leptagrion",2
"final","N41","Oligochaete",219
"final","N41","Orthocladine",5
"final","N41","Scirtes_sp",4
"final","N41","Tipulidae",1
"final","N42","Atrichopogon",3
"final","N42","Chironomidae",1
"final","N42","Coleoptera",2
"final","N42","Culicidae",3
"final","N42","Forcipomyia",2
"final","N42","Leptagrion",1
"final","N42","Monopelopia",1
"final","N42","Oligochaete",47
"final","N42","Scirtes_sp",4
"final","N42","Tabanidae",1
"final","N42","Tipulidae",3
"final","N43","Atrichopogon",5
"final","N43","Chironomidae",5
"final","N43","Culicidae",4
"final","N43","Leptagrion",2
"final","N43","Oligochaete",229
"final","N43","Scirtes_sp",6
"final","N44","Chironomidae",1
"final","N44","Corethrella",1
"final","N44","Culicidae",9
"final","N44","Diptera_sp",22
"final","N44","Leptagrion",2
"final","N44","Oligochaete",131
"final","N44","Scirtes_sp",29
"final","N45","Atrichopogon",3
"final","N45","Chironomidae",3
"final","N45","Corethrella",1
"final","N45","Culicidae",5
"final","N45","Diptera_sp",4
"final","N45","Elpidium",1
"final","N45","Forcipomyia",2
"final","N45","Lampyridae",1
"final","N45","Leptagrion",3
"final","N45","Oligochaete",173
"final","N45","Scirtes_sp",3
"final","N46","Atrichopogon",2
"final","N46","Chironomidae",2
"final","N46","Culicidae",13
"final","N46","Diptera_sp",7
"final","N46","Forcipomyia",1
"final","N46","Leptagrion",3
"final","N46","Oligochaete",156
"final","N46","Psychodidae",1
"final","N46","Scirtes_sp",10
"final","N46","Tabanidae",1
"final","N46","Tipulidae",2
"final","N47","Atrichopogon",2
"final","N47","Chironomidae",1
"final","N47","Corethrella",1
"final","N47","Culicidae",5
"final","N47","Diptera_sp",3
"final","N47","Forcipomyia",2
"final","N47","Leptagrion",2
"final","N47","Oligochaete",176
"final","N47","Scirtes_sp",9
"final","N47","Tipulidae",1
"final","N48","Culicidae",7
"final","N48","Diptera_sp",22
"final","N48","Forcipomyia",3
"final","N48","Leptagrion",1
"final","N48","Oligochaete",116
"final","N48","Scirtes_sp",6
"final","N48","Tipulidae",1
"final","N49","Chironomidae",2
"final","N49","Corethrella",2
"final","N49","Culicidae",8
"final","N49","Diptera_sp",4
"final","N49","Leptagrion",1
"final","N49","Oligochaete",139
"final","N49","Scirtes_sp",17
"final","N49","Tipulidae",2
"final","N5","Chironomidae",2
"final","N5","Culicidae",1
"final","N5","Elpidium",6
"final","N5","Forcipomyia",8
"final","N5","Leptagrion",1
"final","N5","Oligochaete",285
"final","N5","Psychodidae",1
"final","N5","Tipulidae",3
"final","N50","Atrichopogon",1
"final","N50","Chironomidae",1
"final","N50","Culicidae",7
"final","N50","Diptera_sp",3
"final","N50","Forcipomyia",2
"final","N50","Leptagrion",3
"final","N50","Oligochaete",207
"final","N50","Scirtes_sp",14
"final","N50","Tipulidae",1
"final","N51","Chironomidae",3
"final","N51","Corethrella",1
"final","N51","Culicidae",8
"final","N51","Forcipomyia",1
"final","N51","Leptagrion",1
"final","N51","Oligochaete",188
"final","N51","Scirtes_sp",3
"final","N51","Tipulidae",2
"final","N52","Chironomidae",8
"final","N52","Corethrella",1
"final","N52","Culicidae",8
"final","N52","Diptera_sp",2
"final","N52","Forcipomyia",5
"final","N52","Leptagrion",1
"final","N52","Oligochaete",186
"final","N52","Scirtes_sp",3
"final","N52","Tipulidae",1
"final","N6","Chironomidae",1
"final","N6","Leptagrion",1
"final","N6","Monopelopia",1
"final","N6","Oligochaete",95
"final","N6","Scirtes_sp",7
"final","N7","Chironomidae",2
"final","N7","Forcipomyia",2
"final","N7","Leptagrion",1
"final","N7","Oligochaete",133
"final","N7","Scirtes_sp",82
"final","N7","Tabanidae",1
"final","N8","Culicidae",1
"final","N8","Lampyridae",1
"final","N8","Leptagrion",1
"final","N8","Oligochaete",100
"final","N8","Scirtes_sp",13
"final","N9","Atrichopogon",1
"final","N9","Bezzia",2
"final","N9","Diptera_sp",4
"final","N9","Elpidium",1
"final","N9","Monopelopia",1
"final","N9","Oligochaete",33
"final","N9","Psychodidae",1
"final","N9","Scirtes_sp",5
"final","N9","Tabanidae",1
"final","P1","Chironomidae",1
"final","P1","Elpidium",17
"final","P1","Forcipomyia",25
"final","P1","Oligochaete",46
"final","P1","Scirtes_sp",1
"final","P1","Tipulidae",1
"final","P10","Culicidae",2
"final","P10","Leptagrion",2
"final","P10","Oligochaete",23
"final","P11","Forcipomyia",14
"final","P11","Leptagrion",1
"final","P11","Oligochaete",155
"final","P11","Scirtes_sp",2
"final","P11","Tipulidae",2
"final","P12","Chironomidae",2
"final","P12","Culicidae",1
"final","P12","Oligochaete",57
"final","P12","Scirtes_sp",1
"final","P12","Syrphidae",1
"final","P12","Tipulidae",1
"final","P3","Chironomidae",1
"final","P3","Culicidae",7
"final","P3","Forcipomyia",8
"final","P3","Leptagrion",1
"final","P3","Oligochaete",51
"final","P3","Scirtes_sp",4
"final","P4","Culicidae",1
"final","P4","Oligochaete",28
"final","P4","Tipulidae",1
"final","P5","Chironomidae",2
"final","P5","Culicidae",2
"final","P5","Forcipomyia",1
"final","P5","Leptagrion",1
"final","P5","Oligochaete",76
"final","P5","Scirtes_sp",7
"final","P5","Tipulidae",2
"final","P6","Culicidae",12
"final","P6","Elpidium",1
"final","P6","Forcipomyia",11
"final","P6","Leptagrion",3
"final","P6","Oligochaete",29
"final","P6","Scirtes_sp",7
"final","V1","Bezzia",1
"final","V1","Chironomidae",9
"final","V1","Elpidium",3
"final","V1","Ephydridae",28
"final","V1","Forcipomyia",33
"final","V1","Leptagrion",2
"final","V1","Monopelopia",1
"final","V1","Oligochaete",25
"final","V1","Scirtes_sp",4
"final","V10","Bezzia",3
"final","V10","Chironomidae",22
"final","V10","Elpidium",8
"final","V10","Ephydridae",3
"final","V10","Forcipomyia",39
"final","V10","Oligochaete",28
"final","V11","Bezzia",1
"final","V11","Culicidae",3
"final","V11","Diptera_sp",5
"final","V11","Elpidium",1
"final","V11","Forcipomyia",26
"final","V11","Monopelopia",1
"final","V11","Oligochaete",15
"final","V11","Scirtes_sp",2
"final","V2","Atrichopogon",1
"final","V2","Bezzia",2
"final","V2","Chironomidae",3
"final","V2","Corethrella",1
"final","V2","Culicidae",2
"final","V2","Elpidium",2
"final","V2","Ephydridae",30
"final","V2","Forcipomyia",31
"final","V2","Oligochaete",10
"final","V2","Scirtes_sp",1
"final","V2","Tipulidae",6
"final","V3","Empididae",3
"final","V3","Forcipomyia",1
"final","V3","Oligochaete",20
"final","V3","Scirtes_sp",1
"final","V4","Chironomidae",4
"final","V4","Elpidium",12
"final","V4","Empididae",4
"final","V4","Forcipomyia",3
"final","V4","Leptagrion",1
"final","V4","Scirtes_sp",1
"final","V4","Tipulidae",5
"final","V6","Chironomidae",7
"final","V6","Culex",3
"final","V6","Ephydridae",1
"final","V6","Forcipomyia",2
"final","V6","Oligochaete",22
"final","V6","Scirtes_sp",5
"final","V7","Chironomidae",18
"final","V7","Elpidium",53
"final","V7","Forcipomyia",3
"final","V7","Leptagrion",1
"final","V7","Oligochaete",8
"final","V7","Scirtes_sp",4
"final","V8","Chironomidae",20
"final","V8","Culicidae",3
"final","V8","Elpidium",135
"final","V8","Leptagrion",1
"final","V8","Oligochaete",27
"final","V8","Psychodidae",2
"final","V8","Scirtes_sp",22
"final","V8","Tabanidae",1
"final","V9","Chironomidae",20
"final","V9","Corethrella",1
"final","V9","Culicidae",1
"final","V9","Elpidium",39
"final","V9","Ephydridae",2
"final","V9","Forcipomyia",8
"final","V9","Leptagrion",1
"final","V9","Monopelopia",1
"final","V9","Oligochaete",15
"final","V9","Scirtes_sp",11
"homogenized","Baker","Chironomidae",2
"homogenized","Baker","Corethrella",1
"homogenized","Baker","Culicidae",2
"homogenized","Baker","Elpidium",16
"homogenized","Baker","Forcipomyia",6
"homogenized","Baker","Leptagrion",1
"homogenized","Baker","Oligochaete",38
"homogenized","Baker","Scirtes_sp",2
"homogenized","Davidson","Chironomidae",6
"homogenized","Davidson","Corethrella",1
"homogenized","Davidson","Culicidae",7
"homogenized","Davidson","Elpidium",31
"homogenized","Davidson","Forcipomyia",5
"homogenized","Davidson","Leptagrion",1
"homogenized","Davidson","Oligochaete",19
"homogenized","Davidson","Scirtes_sp",6
"homogenized","Donna","Corethrella",3
"homogenized","Donna","Culicidae",30
"homogenized","Donna","Elpidium",2
"homogenized","Donna","Leptagrion",2
"homogenized","Donna","Oligochaete",173
"homogenized","Donna","Scirtes_sp",36
"homogenized","Donna","Tipulidae",2
"homogenized","Eccleson","Chironomidae",4
"homogenized","Eccleson","Corethrella",1
"homogenized","Eccleson","Culicidae",6
"homogenized","Eccleson","Elpidium",15
"homogenized","Eccleson","Forcipomyia",6
"homogenized","Eccleson","Leptagrion",1
"homogenized","Eccleson","Oligochaete",21
"homogenized","Eccleson","Scirtes_sp",10
"homogenized","Martha","Chironomidae",7
"homogenized","Martha","Corethrella",3
"homogenized","Martha","Culicidae",30
"homogenized","Martha","Forcipomyia",3
"homogenized","Martha","Leptagrion",2
"homogenized","Martha","Oligochaete",189
"homogenized","Pond","Chironomidae",9
"homogenized","Pond","Corethrella",1
"homogenized","Pond","Culicidae",18
"homogenized","Pond","Forcipomyia",1
"homogenized","Pond","Leptagrion",1
"homogenized","Pond","Oligochaete",151
"homogenized","Pond","Scirtes_sp",5
"homogenized","Pond","Tipulidae",1
"homogenized","Rose","Chironomidae",2
"homogenized","Rose","Corethrella",2
"homogenized","Rose","Culicidae",40
"homogenized","Rose","Leptagrion",2
"homogenized","Rose","Oligochaete",42
"homogenized","Rose","Scirtes_sp",10
"homogenized","Rose","Tipulidae",4
"homogenized","SarahJane","Chironomidae",4
"homogenized","SarahJane","Corethrella",3
"homogenized","SarahJane","Culicidae",17
"homogenized","SarahJane","Forcipomyia",3
"homogenized","SarahJane","Leptagrion",1
"homogenized","SarahJane","Oligochaete",64
"homogenized","SarahJane","Scirtes_sp",5
"homogenized","SarahJane","Tipulidae",6
"homogenized","Smith","Chironomidae",2
"homogenized","Smith","Culicidae",3
"homogenized","Smith","Elpidium",0
"homogenized","Smith","Forcipomyia",5
"homogenized","Smith","Leptagrion",1
"homogenized","Smith","Oligochaete",12
"homogenized","Smith","Scirtes_sp",4
"homogenized","Smith","Tipulidae",1
"homogenized","Tennant","Chironomidae",1
"homogenized","Tennant","Culicidae",6
"homogenized","Tennant","Elpidium",7
"homogenized","Tennant","Forcipomyia",4
"homogenized","Tennant","Oligochaete",16
"homogenized","Tennant","Scirtes_sp",3
"homogenized","Tennant","Tipulidae",1
"homogenized","pilot10","Chironomidae",2
"homogenized","pilot10","Culex",2
"homogenized","pilot10","Elpidium",1
"homogenized","pilot10","Oligochaete",10
"homogenized","pilot10","Scirtes_sp",4
"homogenized","pilot10","Tipulidae",2
"homogenized","pilot20","Chironomidae",4
"homogenized","pilot20","Culicidae",4
"homogenized","pilot20","Elpidium",2
"homogenized","pilot20","Oligochaete",20
"homogenized","pilot20","Scirtes_sp",8
"homogenized","pilot20","Tipulidae",4
"initial","A1","AquaticMite",1
"initial","A1","Culicidae",2
"initial","A1","Elpidium",5
"initial","A1","Forcipomyia",3
"initial","A1","Oligochaete",35
"initial","A1","Tipulidae",1
"initial","A11","Culicidae",6
"initial","A11","Forcipomyia",22
"initial","A11","Psychodidae",4
"initial","A12","Culicidae",1
"initial","A12","Elpidium",8
"initial","A12","Forcipomyia",1
"initial","A12","Oligochaete",5
"initial","A12","Tipulidae",1
"initial","A13","Culicidae",2
"initial","A13","Elpidium",6
"initial","A13","Forcipomyia",1
"initial","A13","Oligochaete",1
"initial","A14","Chironomidae",2
"initial","A14","Forcipomyia",1
"initial","A14","Leptagrion",1
"initial","A14","Oligochaete",13
"initial","A14","Scirtes_sp",1
"initial","A15","Forcipomyia",1
"initial","A15","Oligochaete",4
"initial","A15","Tipulidae",1
"initial","A16","Culicidae",1
"initial","A16","Forcipomyia",9
"initial","A16","Leptagrion",1
"initial","A16","Oligochaete",9
"initial","A16","Tipulidae",2
"initial","A2","Elpidium",5
"initial","A3","Culicidae",2
"initial","A3","Lampyridae",1
"initial","A3","Oligochaete",3
"initial","A4","Culicidae",1
"initial","A4","Elpidium",6
"initial","A4","Forcipomyia",6
"initial","A4","Oligochaete",14
"initial","A5","Corethrella",1
"initial","A5","Leptagrion",1
"initial","A5","Oligochaete",3
"initial","A5","Scirtes_sp",2
"initial","A6","Chironomidae",4
"initial","A6","Culicidae",1
"initial","A6","Lampyridae",1
"initial","A6","Leptagrion",1
"initial","A6","Oligochaete",1
"initial","A6","Scirtes_sp",2
"initial","A7","Elpidium",34
"initial","A7","Lampyridae",1
"initial","A7","Leptagrion",1
"initial","A7","Scirtes_sp",3
"initial","A8","Culicidae",8
"initial","A8","Elpidium",2
"initial","A8","Forcipomyia",12
"initial","A8","Oligochaete",9
"initial","A8","Psychodidae",1
"initial","A8","Scirtes_sp",1
"initial","A9","Culicidae",1
"initial","A9","Forcipomyia",4
"initial","A9","Lampyridae",1
"initial","A9","Oligochaete",1
"initial","N1","Chironomidae",1
"initial","N1","Culicidae",2
"initial","N1","Elateridae",2
"initial","N1","Elpidium",6
"initial","N1","Oligochaete",17
"initial","N1","Psychodidae",1
"initial","N1","Scirtes_sp",4
"initial","N1","Tabanidae",1
"initial","N1","Tipulidae",1
"initial","N10","Oligochaete",2
"initial","N10","Scirtes_sp",2
"initial","N10","Tipulidae",2
"initial","N11","Chironomidae",1
"initial","N11","Culicidae",2
"initial","N11","Lampyridae",1
"initial","N11","Oligochaete",47
"initial","N11","Scirtes_sp",2
"initial","N11","Tipulidae",1
"initial","N12","Culicidae",3
"initial","N12","Lampyridae",1
"initial","N12","Oligochaete",11
"initial","N12","Scirtes_sp",20
"initial","N13","Chironomidae",1
"initial","N13","Culicidae",3
"initial","N13","Elpidium",1
"initial","N13","Leptagrion",1
"initial","N13","Oligochaete",37
"initial","N13","Scirtes_sp",3
"initial","N13","Tipulidae",1
"initial","N2","Chironomidae",10
"initial","N2","Culicidae",7
"initial","N2","Leptagrion",4
"initial","N2","Oligochaete",27
"initial","N2","Psychodidae",3
"initial","N20","Chironomidae",2
"initial","N20","Corethrella",1
"initial","N20","Culicidae",6
"initial","N20","Elpidium",1
"initial","N20","Leptagrion",7
"initial","N20","Oligochaete",16
"initial","N20","Scirtes_sp",5
"initial","N20","Tipulidae",3
"initial","N21","Chironomidae",3
"initial","N21","Corethrella",6
"initial","N21","Culicidae",15
"initial","N21","Leptagrion",2
"initial","N21","Oligochaete",18
"initial","N21","Scirtes_sp",2
"initial","N21","Tipulidae",6
"initial","N22","Chironomidae",6
"initial","N22","Culicidae",29
"initial","N22","Scirtes_sp",10
"initial","N22","Tabanidae",1
"initial","N22","Tipulidae",3
"initial","N23","Bezzia",5
"initial","N23","Corethrella",2
"initial","N23","Culicidae",5
"initial","N23","Forcipomyia",8
"initial","N23","Leptagrion",1
"initial","N23","Oligochaete",106
"initial","N23","Psychodidae",1
"initial","N24","Chironomidae",18
"initial","N24","Corethrella",14
"initial","N24","Culicidae",16
"initial","N24","Forcipomyia",14
"initial","N24","Leptagrion",1
"initial","N24","Oligochaete",133
"initial","N25","Chironomidae",1
"initial","N25","Culicidae",2
"initial","N25","Leptagrion",5
"initial","N25","Oligochaete",27
"initial","N25","Tipulidae",1
"initial","N26","Chironomidae",1
"initial","N26","Corethrella",1
"initial","N26","Culicidae",20
"initial","N26","Monopelopia",1
"initial","N26","Oligochaete",15
"initial","N27","Chironomidae",6
"initial","N27","Corethrella",2
"initial","N27","Culicidae",37
"initial","N27","Leptagrion",6
"initial","N27","Monopelopia",4
"initial","N27","Oligochaete",327
"initial","N27","Scirtes_sp",24
"initial","N27","Tipulidae",3
"initial","N28","Chironomidae",2
"initial","N28","Corethrella",1
"initial","N28","Culicidae",22
"initial","N28","Leptagrion",1
"initial","N28","Scirtes_sp",19
"initial","N28","Tipulidae",2
"initial","N29","Chironomidae",3
"initial","N29","Corethrella",2
"initial","N29","Culicidae",14
"initial","N29","Elpidium",9
"initial","N29","Monopelopia",1
"initial","N29","Oligochaete",166
"initial","N29","Scirtes_sp",1
"initial","N29","Tipulidae",3
"initial","N3","Culicidae",12
"initial","N3","Elateridae",1
"initial","N3","Leptagrion",1
"initial","N3","Oligochaete",62
"initial","N3","Scirtes_sp",11
"initial","N3","Tipulidae",3
"initial","N30","Chironomidae",3
"initial","N30","Corethrella",1
"initial","N30","Culicidae",17
"initial","N30","Leptagrion",2
"initial","N30","Oligochaete",103
"initial","N30","Scirtes_sp",1
"initial","N30","Tipulidae",3
"initial","N31","Corethrella",1
"initial","N31","Culicidae",14
"initial","N31","Elpidium",21
"initial","N31","Forcipomyia",1
"initial","N31","Leptagrion",1
"initial","N31","Oligochaete",27
"initial","N31","Tipulidae",3
"initial","N32","Bezzia",1
"initial","N32","Chironomidae",3
"initial","N32","Corethrella",2
"initial","N32","Culicidae",13
"initial","N32","Elpidium",1
"initial","N32","Leptagrion",3
"initial","N32","Oligochaete",61
"initial","N32","Psychodidae",2
"initial","N32","Scirtes_sp",1
"initial","N33","Chironomidae",2
"initial","N33","Corethrella",6
"initial","N33","Culicidae",30
"initial","N33","Lampyridae",1
"initial","N33","Leptagrion",2
"initial","N33","Oligochaete",40
"initial","N33","Psychodidae",3
"initial","N33","Scirtes_sp",5
"initial","N33","Tipulidae",3
"initial","N34","Chironomidae",1
"initial","N34","Corethrella",2
"initial","N34","Culicidae",35
"initial","N34","Lampyridae",1
"initial","N34","Leptagrion",6
"initial","N34","Oligochaete",51
"initial","N34","Scirtes_sp",1
"initial","N34","Tipulidae",1
"initial","N35","Chironomidae",28
"initial","N35","Corethrella",3
"initial","N35","Culicidae",12
"initial","N35","Elpidium",1
"initial","N35","Forcipomyia",2
"initial","N35","Leptagrion",3
"initial","N35","Oligochaete",118
"initial","N35","Scirtes_sp",12
"initial","N35","Tipulidae",1
"initial","N36","Bezzia",1
"initial","N36","Chironomidae",4
"initial","N36","Culicidae",17
"initial","N36","Leptagrion",1
"initial","N36","Monopelopia",1
"initial","N36","Oligochaete",55
"initial","N37","Chironomidae",20
"initial","N37","Corethrella",3
"initial","N37","Culicidae",61
"initial","N37","Lampyridae",2
"initial","N37","Leptagrion",5
"initial","N37","Monopelopia",1
"initial","N37","Oligochaete",54
"initial","N37","Scirtes_sp",6
"initial","N37","Tipulidae",2
"initial","N38","Chironomidae",9
"initial","N38","Corethrella",1
"initial","N38","Culicidae",95
"initial","N38","Leptagrion",4
"initial","N38","Oligochaete",42
"initial","N38","Scirtes_sp",12
"initial","N38","Tipulidae",18
"initial","N39","Chironomidae",3
"initial","N39","Corethrella",3
"initial","N39","Culicidae",46
"initial","N39","Forcipomyia",3
"initial","N39","Leptagrion",3
"initial","N39","Oligochaete",50
"initial","N39","Scirtes_sp",3
"initial","N39","Tipulidae",1
"initial","N4","Forcipomyia",1
"initial","N4","Leptagrion",1
"initial","N4","Oligochaete",22
"initial","N4","Scirtes_sp",2
"initial","N40","Chironomidae",10
"initial","N40","Corethrella",2
"initial","N40","Culicidae",29
"initial","N40","Lepidoptera",1
"initial","N40","Monopelopia",10
"initial","N40","Oligochaete",2
"initial","N40","Psychodidae",1
"initial","N40","Scirtes_sp",30
"initial","N40","Tabanidae",1
"initial","N40","Tipulidae",1
"initial","N41","Chironomidae",7
"initial","N41","Corethrella",1
"initial","N41","Culicidae",4
"initial","N41","Elpidium",5
"initial","N41","Leptagrion",7
"initial","N41","Oligochaete",63
"initial","N41","Psychodidae",1
"initial","N41","Scirtes_sp",1
"initial","N42","Chironomidae",3
"initial","N42","Corethrella",2
"initial","N42","Culicidae",41
"initial","N42","Elpidium",4
"initial","N42","Leptagrion",1
"initial","N42","Monopelopia",1
"initial","N42","Oligochaete",23
"initial","N42","Scirtes_sp",26
"initial","N42","Tabanidae",1
"initial","N43","Chironomidae",14
"initial","N43","Corethrella",4
"initial","N43","Culicidae",50
"initial","N43","Elpidium",1
"initial","N43","Forcipomyia",1
"initial","N43","Lampyridae",1
"initial","N43","Leptagrion",12
"initial","N43","Monopelopia",1
"initial","N43","Oligochaete",400
"initial","N43","Scirtes_sp",14
"initial","N43","Tipulidae",2
"initial","N44","Chironomidae",5
"initial","N44","Culicidae",86
"initial","N44","Monopelopia",1
"initial","N44","Oligochaete",254
"initial","N44","Scirtes_sp",193
"initial","N44","Tabanidae",1
"initial","N44","Tipulidae",20
"initial","N45","Chironomidae",47
"initial","N45","Corethrella",5
"initial","N45","Culicidae",57
"initial","N45","Elpidium",2
"initial","N45","Forcipomyia",16
"initial","N45","Leptagrion",7
"initial","N45","Oligochaete",278
"initial","N45","Psychodidae",2
"initial","N45","Scirtes_sp",9
"initial","N46","Chironomidae",40
"initial","N46","Corethrella",6
"initial","N46","Culicidae",66
